identifier,display_code,english_name,chinese_name,source_mod,source_id,stable_id,menu_category,element_state,default_enabled,duplicate_of,save_compatibility,implementation_status,test_status,is_duplicate,meson_name,source_file,source_commit,english_description,chinese_description,license,notes,code,zh_name,en_name,module,source,production,uses,hazards,controls,cleanup,status,tests
DEFAULT_PT_SALT,SALT,Salt,盐,The-Powder-Toy/The-Powder-Toy,26,26,SC_POWDERS,powder,true,,official-locked,implemented,source-verified,false,SALT,src/simulation/elements/SALT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Salt, dissolves in water.","盐,能溶于WATR形成SLTW",GPL-3.0-only,,SALT,盐,Salt,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_SLTW,SLTW,Salt Water,盐水,The-Powder-Toy/The-Powder-Toy,27,27,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,SLTW,src/simulation/elements/SLTW.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Saltwater, conducts electricity, difficult to freeze.","盐水,SALT+WATR的产物能更快的导电(比WATR快),具有更高沸点和更低的凝固点",GPL-3.0-only,,SLTW,盐水,Salt Water,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_DMND,DMND,Diamond,钻石,The-Powder-Toy/The-Powder-Toy,28,28,SC_SPECIAL,solid,true,,official-locked,implemented,source-verified,false,DMND,src/simulation/elements/DMND.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Diamond. Indestructible.,"钻石,坚不可摧",GPL-3.0-only,,DMND,钻石,Diamond,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_BMTL,BMTL,Breakable Metal,可破坏金属,The-Powder-Toy/The-Powder-Toy,29,29,SC_SOLIDS,solid,true,,official-locked,implemented,source-verified,false,BMTL,src/simulation/elements/BMTL.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Breakable metal. Common conductive building material, can melt and break under pressure.","脆金属,在压力下破坏,高温下熔化",GPL-3.0-only,,BMTL,可破坏金属,Breakable Metal,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_BRMT,BRMT,Broken Metal,金属粉,The-Powder-Toy/The-Powder-Toy,30,30,SC_POWDERS,powder,true,,official-locked,implemented,source-verified,false,BRMT,src/simulation/elements/BRMT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Broken metal. Created when iron rusts or when metals break from pressure.,"金属粉,铁生锈或金属暴露在压力下碎裂时产生",GPL-3.0-only,,BRMT,金属粉,Broken Metal,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_PHOT,PHOT,Photon,光子,The-Powder-Toy/The-Powder-Toy,31,31,SC_NUCLEAR,energy,true,,official-locked,implemented,source-verified,false,PHOT,src/simulation/elements/PHOT.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Photons. Refract through glass, and different elements change its color. Can ignite flammable materials.","光子,沿直线传播,不受重力影响,受牛顿万有引力影响,可用于点燃物质或传递热量",GPL-3.0-only,,PHOT,光子,Photon,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_URAN,URAN,Uranium,铀,The-Powder-Toy/The-Powder-Toy,32,32,SC_NUCLEAR,powder,true,,official-locked,implemented,source-verified,false,URAN,src/simulation/elements/URAN.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Uranium. Heavy particles. Generates heat under pressure.,"铀,核反应的副产品在压力下会快速上升温度(指数关系)在低压或没有压力时会缓慢冷却",GPL-3.0-only,,URAN,铀,Uranium,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_WAX,WAX,Wax,蜡,The-Powder-Toy/The-Powder-Toy,33,33,SC_SOLIDS,solid,true,,official-locked,implemented,source-verified,false,WAX,src/simulation/elements/WAX.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Flammable, melts at moderately high temperatures.","蜡,加热时会融化",GPL-3.0-only,,WAX,蜡,Wax,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_MWAX,MWAX,Molten Wax,熔融蜡,The-Powder-Toy/The-Powder-Toy,34,34,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,MWAX,src/simulation/elements/MWAX.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Liquid Wax. Hardens into WAX at 45 degrees.,"蜡油,融化的蜡,可以燃烧,45℃时凝固成蜡",GPL-3.0-only,,MWAX,熔融蜡,Molten Wax,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_PSCN,PSCN,P-Type Silicon,P 型硅,The-Powder-Toy/The-Powder-Toy,35,35,SC_ELEC,solid,true,,official-locked,implemented,source-verified,false,PSCN,src/simulation/elements/PSCN.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"P-Type Silicon, Will transfer current to any conductor. Enables powered materials.","P型硅,可以电脉冲传导给任何导体,可以熔化",GPL-3.0-only,,PSCN,P 型硅,P-Type Silicon,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_NSCN,NSCN,N-Type Silicon,N 型硅,The-Powder-Toy/The-Powder-Toy,36,36,SC_ELEC,solid,true,,official-locked,implemented,source-verified,false,NSCN,src/simulation/elements/NSCN.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"N-Type Silicon, Will not transfer current to P-Type Silicon. Disables powered materials.","N型硅,不会向P型硅传递电脉冲(即电脉冲只能从PSCN单向传导到NSCN)",GPL-3.0-only,,NSCN,N 型硅,N-Type Silicon,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_LNTG,LN2,Liquid Nitrogen,液氮,The-Powder-Toy/The-Powder-Toy,37,37,SC_LIQUID,liquid,true,,official-locked,implemented,source-verified,false,LNTG,src/simulation/elements/LNTG.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Liquid Nitrogen. Very cold, disappears whenever it touches anything warmer.","液氮,遇到比它热的物质后会消失并产生压力",GPL-3.0-only,,LN2,液氮,Liquid Nitrogen,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_INSL,INSL,Insulator,绝缘体,The-Powder-Toy/The-Powder-Toy,38,38,SC_ELEC,solid,true,,official-locked,implemented,source-verified,false,INSL,src/simulation/elements/INSL.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Insulator. Blocks heat, electricity, and radiation.","绝缘体,绝缘体,既不吸收,也不释放热量给其它元素",GPL-3.0-only,,INSL,绝缘体,Insulator,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_BHOL,VACU,Vacuum,真空孔,The-Powder-Toy/The-Powder-Toy,39,39,SC_SPECIAL,solid,true,,official-locked,implemented,source-verified,false,BHOL,src/simulation/elements/BHOL.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Vacuum, sucks in other particles and heats up.","吸气孔,产生引力吸入物质并升温",GPL-3.0-only,,VACU,真空孔,Vacuum,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_WHOL,VENT,Vent,排气孔,The-Powder-Toy/The-Powder-Toy,40,40,SC_SPECIAL,solid,true,,official-locked,implemented,source-verified,false,WHOL,src/simulation/elements/WHOL.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Air vent, creates pressure and pushes other particles away.","排气孔,产生斥力排斥物质",GPL-3.0-only,,VENT,排气孔,Vent,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_RBDM,RBDM,Rubidium,铷,The-Powder-Toy/The-Powder-Toy,41,41,SC_EXPLOSIVE,solid,true,,official-locked,implemented,source-verified,false,RBDM,src/simulation/elements/RBDM.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,"Rubidium. Explosive, especially on contact with water. Low melting point.","固态铷,低熔点,可以导电,遇水爆炸",GPL-3.0-only,,RBDM,铷,Rubidium,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
DEFAULT_PT_LRBD,LRBD,Liquid Rubidium,液态铷,The-Powder-Toy/The-Powder-Toy,42,42,SC_EXPLOSIVE,liquid,true,,official-locked,implemented,source-verified,false,LRBD,src/simulation/elements/LRBD.cpp,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,Liquid Rubidium.,"液态铷,压力越大,爆炸点越低",GPL-3.0-only,,LRBD,液态铷,Liquid Rubidium,official,The-Powder-Toy/The-Powder-Toy,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,upstream_managed_by_official_tpt,implemented,source-verified
